Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Duffy's,"Chuno, Xoco",1331,2014,70%,U.K.,3.5,Criollo,Nicaragua
Duffy's,"Rio Dulce, Xoco",1662,2015,70%,U.K.,4,Criollo,Guatemala
Duffy's,Eti-Oni,1964,2017,70%,U.K.,2.75,,Nigeria
Dulcinea,Dominican Republic,1506,2015,70%,U.S.A.,3.25,,Dominican Republic
Durand,Madagascar,841,2012,82%,France,2.75,Trinitario,Madagascar
Durci,Taino Secret,1630,2015,70%,U.S.A.,3.25,,Dominican Republic
Durci,Corona Arriba,1630,2015,70%,U.S.A.,4,,Ecuador
Durci,"Maranon, Joya Rara",1626,2015,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Durci,"Rio Caribe, Tepui Treasure",1626,2015,70%,U.S.A.,3.5,Trinitario,Venezuela
Durci,"Carenero, Empyrean Sabor",1630,2015,70%,U.S.A.,3.25,Trinitario,Venezuela
Durci,Piura Blanco,2040,2018,70%,U.S.A.,4,,Peru
East Van Roasters,Dominican Republic,1343,2014,70%,Canada,3.75,,Dominican Republic
East Van Roasters,Madagascar,1343,2014,70%,Canada,3.5,Trinitario,Madagascar
East Van Roasters,Peru,1343,2014,70%,Canada,3.25,,Peru
Eau de Rose,Tumaco,1812,2016,70%,Canada,3.25,,Colombia
Eau de Rose,Arauca,1812,2016,70%,Canada,3.25,,Colombia
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",919,2012,72%,U.S.A.,2.75,Forastero (Nacional),Peru
Edelmond,Porcelana,1876,2016,68%,Germany,3,Criollo,Venezuela
El Ceibo,Alto Beni,252,2008,71%,Bolivia,2.75,,Bolivia
El Ceibo,"Alto Beni, Covendo Region",709,2011,75%,Bolivia,3.75,,Bolivia
El Rey,"Carenero Superior, Gran Saman",032,2006,70%,Venezuela,2.75,Criollo,Venezuela
El Rey,"Carenero Superior, Mijao",206,2008,61%,Venezuela,3,Criollo,Venezuela
El Rey,"Carenero Superior, Apamate",206,2008,74%,Venezuela,2.5,Criollo,Venezuela
El Rey,"Carenero Superior, Bucare",206,2008,58%,Venezuela,2.5,Criollo,Venezuela
El Rey,"Rio Caribe, Macuro",439,2009,70%,Venezuela,3,Trinitario,Venezuela
El Rey,"Rio Caribe, Cariaco",439,2009,60.5%,Venezuela,2.75,Trinitario,Venezuela
El Rey,San Joaquin,1662,2015,70%,Venezuela,3.75,,Venezuela
Emerald Estate,Emerald Estate,1137,2013,70%,St. Lucia,3.25,,St. Lucia
Emerald Estate,Emerald Estate,1137,2013,60%,St. Lucia,2.75,,St. Lucia
Emily's,Peru,1454,2015,78%,Japan,3.5,Criollo,Peru
Emily's,Patanemo,1450,2015,79%,Japan,3,,Venezuela
ENNA,"Wampusirpi, batch 007",1916,2016,75%,U.S.A.,3.25,,Honduras
Enric Rovira (Claudio Corallo),Terreiro Velho P.,565,2010,80%,Spain,3.25,Forastero,Sao Tome & Principe
Erithaj (A. Morin),Ben Tre,1205,2014,70%,France,3.25,Trinitario,Vietnam
Erithaj (A. Morin),Ba Lai,1209,2014,74%,France,3.25,Trinitario,Vietnam
Erithaj (A. Morin),Ham Luong,1209,2014,80%,France,3,Trinitario,Vietnam
Escazu,Ocumare,252,2008,72%,U.S.A.,3,Criollo,Venezuela
Escazu,"Carenero, Guapiles, Ocumare blend",431,2009,74%,U.S.A.,2.75,,"Cost Rica, Ven"
Escazu,Guapiles,414,2009,65%,U.S.A.,2,,Costa Rica
Escazu,Carenero Superior,423,2009,81%,U.S.A.,3.5,Criollo,Venezuela
Escazu,Rio Caribe,903,2012,70%,U.S.A.,2.75,Trinitario,Venezuela
Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,55%,U.S.A.,2.5,,"Peru, Madagascar"
Ethel's Artisan (Mars),Trinidad,666,2011,55%,U.S.A.,2.5,Trinitario,Trinidad
Ethel's Artisan (Mars),Porcelana,666,2011,70%,U.S.A.,2.5,Criollo (Porcelana),Venezuela
Ethel's Artisan (Mars),"Venezuela, Trinidad",672,2011,62%,U.S.A.,2.5,,"Venezuela, Trinidad"
Ethel's Artisan (Mars),Red Vanilla,666,2011,62%,U.S.A.,2.75,,
Ethereal,Belize,1275,2014,80%,U.S.A.,3,Trinitario,Belize
Ethereal,Dominican Republic,1275,2014,80%,U.S.A.,3.75,,Dominican Republic
Ethereal,Ecuador,1275,2014,80%,U.S.A.,3.5,,Ecuador
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",565,2010,75%,U.S.A.,2.75,,Brazil
Feitoria Cacao,Maya Mountain,1736,2016,76%,Portugal,2.75,Trinitario,Belize
Feitoria Cacao,Blue Mountain,1732,2016,76%,Portugal,3,,Jamaica
Feitoria Cacao,Cuyagua,1736,2016,76%,Portugal,2.5,,Venezuela
Felchlin,"Alto Beni, Cru Savage",056,2006,68%,Switzerland,4,Criollo (Wild),Bolivia
Felchlin,Elvesia P.,105,2006,74%,Switzerland,3,"Trinitario, Criollo",Dominican Republic
Felchlin,Arriba,048,2006,72%,Switzerland,3.5,Forastero (Arriba),Ecuador
Felchlin,"Madagascar, Grand Cru",048,2006,64%,Switzerland,3,Criollo,Madagascar
Felchlin,Maracaibo Clasificado,048,2006,65%,Switzerland,3,Criollo,Venezuela
Felchlin,Supremo- SF,105,2006,62%,Switzerland,2,,
Felchlin,Grenada,494,2010,58%,Switzerland,3.5,Trinitario,Grenada
Finca,Dominican Republic,1283,2014,70%,U.S.A.,3.25,,Dominican Republic
Finca,Dominican Republic,1283,2014,80%,U.S.A.,3,,Dominican Republic
Finca,Dominican Republic,1287,2014,85%,U.S.A.,2.5,,Dominican Republic
Finca,Puerto Rico,1283,2014,65%,U.S.A.,2.25,,Puerto Rico
Forever Cacao,Rio Eni,1267,2014,72%,U.K.,2.75,Criollo,Peru
Forteza (Cortes),Dominican Republic,1776,2016,70%,Puerto Rico,2.75,,Dominican Republic
Forteza (Cortes),Puerto Rico,1776,2016,80%,Puerto Rico,2.75,,Dominican Republic
Fossa,"Camino Verde P., Balao, Guayas",1776,2016,75%,Singapore,3.5,,Ecuador
Fossa,"Akesson's E., Sambirano V.",1772,2016,70%,Singapore,2.75,,Madagascar
Fossa,"Kokoa Kamili Coop, Kilombero",1776,2016,67%,Singapore,3.75,Trinitario,Tanzania
Fossa,Alto Beni,2072,2018,70%,Singapore,3,,Bolivia
Fossa,Oko Caribe,2076,2018,72%,Singapore,2.75,,Dominican Republic
Fossa,Pisa,2072,2018,68%,Singapore,3.5,,Haiti
Fossa,"Pak Eddy Farm, Yogyakarta Region",2072,2018,70%,Singapore,3,,Indonesia
Fossa,Davao,2072,2018,70%,Singapore,3.25,,Philippines
Franceschi,Canoabo,911,2012,70%,Venezuela,3.75,,Venezuela
Franceschi,Sur del Lago,915,2012,60%,Venezuela,3.5,,Venezuela
Franceschi,Ocumare,1355,2014,70%,Venezuela,3.75,,Venezuela
Franceschi,Choroni,1355,2014,70%,Venezuela,3.5,,Venezuela
Franceschi,Rio Caribe,2044,2018,60%,Venezuela,2.5,Trinitario,Venezuela
Franceschi,Sur del Lago,2100,2018,70%,Venezuela,3,Trinitario,Venezuela
Franceschi,Carenero,2100,2018,70%,Venezuela,3.25,Trinitario,Venezuela
Frederic Blondeel,Ghana,1351,2014,60%,Belgium,3.5,Forastero,Ghana
Frederic Blondeel,Madagascar,1351,2014,65%,Belgium,3.5,Trinitario,Madagascar
Frederic Blondeel,Costa Rica,1538,2015,70%,Belgium,3.5,,Costa Rica
Frederic Blondeel,Peru Brutus,1538,2015,75%,Belgium,3.5,,Peru
Frederic Blondeel,Vietnam,1542,2015,80%,Belgium,3,Trinitario,Vietnam
French Broad,La Red,785,2011,65%,U.S.A.,3.5,,Dominican Republic
French Broad,"Maranon Canyon, Fortunato No. 4",781,2011,70%,U.S.A.,3.5,Forastero (Nacional),Peru
French Broad,"Palo Blanco, Chulucanas",883,2012,61%,U.S.A.,3.5,,Peru
French Broad,Tumbes Coop,883,2012,70%,U.S.A.,2.5,Criollo,Peru
French Broad,"Palo Blanco w/ panela, Chulucanas",887,2012,81%,U.S.A.,2,,Peru
French Broad,"Palo Blanco, Chulucanas",1042,2013,66%,U.S.A.,3.5,,Peru
French Broad,San Andres,1209,2014,80%,U.S.A.,3,,Costa Rica
French Broad,Matagalpa,1295,2014,68%,U.S.A.,3.25,,Nicaragua
French Broad,Guatemala,1634,2015,73%,U.S.A.,3.5,,Guatemala
French Broad,"Norandino, batch 161208",1940,2017,70%,U.S.A.,3.5,,Peru
Fresco,"Jamaica, #205, DR, MC",370,2009,70%,U.S.A.,3.25,Trinitario,Jamaica
Fresco,"Jamaica, #206, DR, LC",370,2009,70%,U.S.A.,3,Trinitario,Jamaica
Fresco,"Jamaica, #204, DR, SC",370,2009,80%,U.S.A.,2.75,Trinitario,Jamaica
Fresco,"Carenero Superior, #203, MR, SC",370,2009,65%,U.S.A.,3.5,Criollo,Venezuela
Fresco,"Conacado, #212, LR, SC",642,2011,72%,U.S.A.,3.5,,Dominican Republic
Fresco,"Conacado, #213, DR, -C",682,2011,72%,U.S.A.,3.25,,Dominican Republic
Fresco,"Ghana, #211, MR, MC",636,2011,74%,U.S.A.,2.75,Forastero,Ghana
Fresco,"Jamaica, #210, DR, MC",642,2011,70%,U.S.A.,3.5,Trinitario,Jamaica
Fresco,"Jamaica, #209, DR, SC",642,2011,70%,U.S.A.,3.25,Trinitario,Jamaica
Fresco,"Sambirano Valley, #215, MR, MC",688,2011,74%,U.S.A.,3,Trinitario,Madagascar
Fresco,"Sambirano Valley, #214, LR, MC",682,2011,74%,U.S.A.,2.75,Trinitario,Madagascar
Fresco,"Chuao, #217, DR, MC",745,2011,70%,U.S.A.,4,Trinitario,Venezuela
Fresco,"Chuao, #218, MR, MC",745,2011,76%,U.S.A.,3.25,Trinitario,Venezuela
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,74%,U.S.A.,4,Trinitario,Madagascar
Fresco,"Markham Valley, #220, MR, MC",927,2012,69%,U.S.A.,4,Trinitario,Papua New Guinea
Fresco,"Markham Valley, #219, LR, MC",899,2012,69%,U.S.A.,3.5,,Papua New Guinea
Fresco,"Markham Valley, #221, DR, MC",899,2012,69%,U.S.A.,3.5,,Papua New Guinea
Fresco,"Markham Valley, #222, LR, 0C",931,2012,69%,U.S.A.,3,Trinitario,Papua New Guinea
Fresco,"Conacado, #224, MR, MC",1081,2013,72%,U.S.A.,3.75,,Dominican Republic
Fresco,"Conacado, #223, MR, SC",1030,2013,72%,U.S.A.,3.25,,Dominican Republic
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,70%,U.S.A.,4,Trinitario,Peru
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,70%,U.S.A.,3.75,,Peru
Fresco,"Maranon, #227, LR, MC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #229, MR, LC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #230, DR, LC",1387,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #228, MR, SC",1383,2014,70%,U.S.A.,3,Forastero (Nacional),Peru
Fresco,"Polochic Valley, MR, LC, batch 17-189",2024,2017,70%,U.S.A.,3.75,,Guatemala
Fresco,"Polochic Valley, LR, LC, batch 17-203",2024,2017,70%,U.S.A.,3.5,,Guatemala
Fresco,"Polochic Valley, DR, LC, batch 17-201",2028,2017,70%,U.S.A.,3.5,,Guatemala
Fresh Coast,"Fazenda Camboa, Bahia",2000,2017,70%,U.S.A.,3.5,,Brazil
Fresh Coast,"Kokoa Kamili, Kilombero District",2000,2017,70%,U.S.A.,3.75,,Tanzania
Fresh Coast aka Just Good Choc.,Belize,1375,2014,70%,U.S.A.,3.5,Trinitario,Belize
Fresh Coast aka Just Good Choc.,Madagascar,1375,2014,70%,U.S.A.,3.5,Trinitario,Madagascar
Fresh Coast aka Just Good Choc.,Peru,1375,2014,70%,U.S.A.,4,,Peru
Friis Holm,"Rugoso, Bad Fermentation",1912,2016,70%,Denmark,3.5,,Nicaragua
Friis Holm,Barba,1956,2017,70%,Denmark,3.75,,Nicaragua
Friis Holm (Bonnat),"Chuno, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Nicaliso, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Johe, Xoco",623,2011,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Red Mayan, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Honduras
Friis Holm (Bonnat),"Rugoso, Xoco",923,2012,70%,Denmark,3.75,,Nicaragua
Friis Holm (Bonnat),"Chuno, triple turned, Xoco",895,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Chuno, double turned, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,70%,Denmark,3.5,,Nicaragua
Friis Holm (Bonnat),"Barba, Xoco",1034,2013,70%,Denmark,3.25,,Nicaragua
Friis Holm (Bonnat),La Dalia,1259,2014,70%,Denmark,3.5,,Nicaragua
Friis Holm (Bonnat),La Dalia,1680,2015,85%,Denmark,3.25,,Nicaragua
Friis Holm (Bonnat),La Dalia,1680,2015,60%,Denmark,3,,Nicaragua
Fruition,Signature Blend,753,2011,66%,U.S.A.,3.25,Trinitario,Costa Rica
Fruition,Costa Rica,781,2011,70%,U.S.A.,3,,Costa Rica
Fruition,Peru,863,2012,70%,U.S.A.,2.5,,Peru
Fruition,La Red,1046,2013,70%,U.S.A.,3.75,,Dominican Republic
Fruition,Camino Verde,1185,2013,75%,U.S.A.,3,,Ecuador
Fruition,Maranon,1359,2014,76%,U.S.A.,3,Forastero (Nacional),Peru
Fruition,Gran Couva,1347,2014,70%,U.S.A.,3.75,Trinitario,Trinidad
Fruition,"Wild Bolivian, Batch 2",1780,2016,74%,U.S.A.,3.75,Beniano,Bolivia
Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,74%,U.S.A.,4,Amazon mix,Costa Rica
Garden Island,"Kaua'I, Alea Estate +world",1367,2014,85%,U.S.A.,2.5,Blend,Hawaii
Georgia Ramon,Conacado Coop,1646,2015,70%,Germany,3.5,Trinitario,Dominican Republic
Georgia Ramon,Conacado Coop,1646,2015,80%,Germany,3.5,Trinitario,Dominican Republic
Georgia Ramon,ABOCFA Coop,1642,2015,70%,Germany,4,Forastero,Ghana
Georgia Ramon,Akesson P.,1646,2015,75%,Germany,3.5,Trinitario,Madagascar
Georgia Ramon,Akesson P.,1642,2015,65%,Germany,3.25,Trinitario,Madagascar
Georgia Ramon,"Rabot Estate, Island Growers",2012,2017,77%,Germany,3.5,,St. Lucia
Georgia Ramon,"H. La Orquidea, Santa Barbara, Zulia",2012,2017,75%,Germany,3.5,Criollo (Porcelana),Venezuela
Georgia Ramon,Cahabon E.,2096,2018,72%,Germany,2.75,Trinitario,Guatemala
Glennmade,Bahia,1672,2015,66%,U.S.A.,3,"Trinitario, Forastero",Brazil
Glennmade,"Toledo District, 2015 Harvest",1848,2016,70%,U.S.A.,3.5,,Belize
Gonzales,Chuao,2076,2018,70%,U.S.A.,3,,Venezuela
Goodnow Farms,"Asochivite, batch 1005",1924,2016,77%,U.S.A.,3.25,,Guatemala
Goodnow Farms,"Almendra Blanca, batch 1004",1924,2016,77%,U.S.A.,2.75,,Mexico
Goodnow Farms,"El Carmen, batch 1003",1924,2016,77%,U.S.A.,3.25,,Nicaragua
Goodnow Farms,"Ucayali, batch 1041",2032,2017,70%,U.S.A.,3.25,,Peru
Grand Place,"Ben Tre, Dong Nai",741,2011,72%,Vietnam,3,Trinitario,Vietnam
Green & Black's (ICAM),Dark,015,2006,70%,U.K.,2.5,,
Green Bean to Bar,Madagascar,1896,2016,70%,Japan,3.5,,Madagascar
Grenada Chocolate Co.,Grenada,241,2008,71%,Grenada,2.5,Trinitario,Grenada
Grenada Chocolate Co.,Grenada,363,2009,60%,Grenada,2.75,Trinitario,Grenada
Grenada Chocolate Co.,Grenada,494,2010,82%,Grenada,3.25,Trinitario,Grenada
Guido Castagna,Arriba,355,2009,64%,Italy,3,Forastero (Arriba) ASS,Ecuador
Guido Castagna,Ghana,355,2009,64%,Italy,3,Forastero,Ghana
Guido Castagna,Trinidad & Tobago,355,2009,64%,Italy,3,,"Trinidad, Tobago"
Guido Castagna,Blend,355,2009,64%,Italy,3.25,,"Ven, Trinidad, Ecuador"
Guido Castagna,Lacri Blend,355,2009,76%,Italy,3,,Venezuela
Guido Castagna,Madagascar,2060,2018,70%,Italy,2.75,,Madagascar
Guittard,Chucuri,015,2006,65%,U.S.A.,3,Trinitario,Colombia
Guittard,"Los Rios, Quevedo",093,2006,65%,U.S.A.,3.5,Forastero (Arriba),Ecuador
Guittard,"Sambirano, Ambanja",087,2006,65%,U.S.A.,3.5,"Criollo, +",Madagascar
Guittard,Sur del Lago,087,2006,65%,U.S.A.,2.5,"Trinitario, Criollo",Venezuela
Guittard,Tsaranta,093,2006,61%,U.S.A.,3.5,Blend,
Guittard,Semisweet,099,2006,61%,U.S.A.,3,Blend,
Guittard,Quetzalcoatl,147,2007,72%,U.S.A.,3.5,Blend,
Guittard,Machu Pichu,259,2008,65%,U.S.A.,3,,Peru
Guittard,Ocumare,276,2008,65%,U.S.A.,3.5,,Venezuela
Guittard,Special Maker Reserve,276,2008,64%,U.S.A.,3,,
Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",316,2009,55%,U.S.A.,3,,Hawaii
Guittard,Complexite,387,2009,70%,U.S.A.,3.5,Blend,
Guittard,Nocturne,387,2009,91%,U.S.A.,3,,
Guittard,Trinidad,552,2010,65%,U.S.A.,3,Trinitario,Trinidad
Guittard,Lever du Soleil,654,2011,61%,U.S.A.,3.25,,
Guittard,Onyx,654,2011,72%,U.S.A.,3.25,,
Guittard,Coucher du Soleil,654,2011,72%,U.S.A.,2.75,,
Guittard,Ecuador,1053,2013,65%,U.S.A.,3.5,,Ecuador
Guittard,Haiti,1053,2013,65%,U.S.A.,2.75,,Haiti
Guittard,Jamaica,1053,2013,65%,U.S.A.,3.25,Trinitario,Jamaica
Guittard,Nicaragua,1053,2013,65%,U.S.A.,2.75,,Nicaragua
Guittard,"Epique, Blend No. 49",1602,2015,70%,U.S.A.,3.75,,
Habitual,Dominican Republic,1197,2014,75%,Canada,3.25,,Dominican Republic
Habitual,Sharkey,1201,2014,66%,Canada,3.25,,Hawaii
Habitual,Papua New Guinea,1197,2014,80%,Canada,2.75,,Papua New Guinea
Habitual,Trinitario,1197,2014,70%,Canada,3.5,Trinitario,
Habitual,Africa meets Latina,1201,2014,70%,Canada,3,,
Habitual,Amazonas,1201,2014,80%,Canada,3,,
Habitual,Campesino w/ nibs,1197,2014,74%,Canada,2.75,,
Habitual,Downtown London,1201,2014,65%,Canada,2.75,,
Habitual,one hundred,1205,2014,100%,Canada,2,,
Hachez,Arriba,166,2007,77%,Germany,2.5,Forastero (Arriba),Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,70%,Ecuador,3,Trinitario,Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,55%,Ecuador,2.75,Trinitario,Ecuador
Haigh,South America and Africa,701,2011,70%,Australia,3,,"South America, Africa"
Harper Macaw,"Tome Acu E., Amazon Rainforest",1700,2015,77%,U.S.A.,3.5,,Brazil
Harper Macaw,"Vale do Juliana E., Atlantic Forest",1700,2015,74%,U.S.A.,3.5,,Brazil
Harper Macaw,Brazil Blend,1696,2015,67%,U.S.A.,3,,Brazil
Harper Macaw,"Vale do Juliana, w/ nibs",1808,2016,85%,U.S.A.,3.25,,Brazil
Harper Macaw,Libiano,2040,2018,75%,U.S.A.,3,,Brazil
Heilemann,Peru,1876,2016,64%,Germany,2.75,,Peru
Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",1748,2016,70%,U.S.A.,3.25,Amazon,Belize
Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",1748,2016,74%,U.S.A.,3.5,Amazon mix,Costa Rica
Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",1239,2014,67%,U.S.A.,3.5,"Amazon, ICS",Bolivia
Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",1243,2014,67%,U.S.A.,3,Beniano,Bolivia
Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",1243,2014,67%,U.S.A.,3.75,EET,Ecuador
Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",1243,2014,67%,U.S.A.,3.75,,Hawaii
Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",1744,2016,72%,U.S.A.,3.5,,Hawaii
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",1744,2016,70%,U.S.A.,3.5,EET,Ecuador
Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",1748,2016,77%,U.S.A.,3.5,EET,Ecuador
Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",1744,2016,72%,U.S.A.,4,Beniano,Bolivia
Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",1744,2016,68%,U.S.A.,3.75,"Amazon, ICS",Bolivia
hello cocoa,Uganda,1458,2015,57%,U.S.A.,2.75,Forastero,Uganda
hello cocoa,Venezuela,1462,2015,74%,U.S.A.,3.5,Criollo,Venezuela
hexx,Ecuador,1550,2015,73%,U.S.A.,3.25,,Ecuador
hexx,Madagascar,1546,2015,74%,U.S.A.,3,Trinitario,Madagascar
hexx,Peru,1550,2015,70%,U.S.A.,3.25,,Peru
hexx,Tanzania,1546,2015,70%,U.S.A.,2.75,,Tanzania
hexx,Venezuela,1546,2015,70%,U.S.A.,3,,Venezuela
Hogarth,Conacado,1712,2016,75%,New Zealand,3.25,Trinitario,Dominican Republic
Hogarth,Akesson's Estate,1712,2016,70%,New Zealand,2.75,Trinitario,Madagascar
Hogarth,Gran Blanco,1712,2016,66%,New Zealand,3.5,Criollo,Peru
Hogarth,Carenero Superior,1712,2016,72%,New Zealand,2.75,Trinitario,Venezuela
Hoja Verde (Tulicorp),Manabi,414,2009,58%,Ecuador,3.5,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Arriba,414,2009,58%,Ecuador,3.25,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Arriba,414,2009,72%,Ecuador,3,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Manabi,414,2009,80%,Ecuador,2.5,Forastero (Arriba) ASS,Ecuador
Hoja Verde (Tulicorp),Arriba,414,2009,80%,Ecuador,2,Forastero (Arriba) ASS,Ecuador
Holy Cacao,Hispaniola w/ nibs,431,2009,75%,Israel,3.75,,Dominican Republic
Holy Cacao,Hispaniola,431,2009,70%,Israel,2.75,,Dominican Republic
Holy Cacao,Ivory Coast,431,2009,70%,Israel,2.5,,Ivory Coast
Holy Cacao,San Martin,431,2009,70%,Israel,3.5,,Peru
Holy Cacao,"Camino Verde P., Balao, Guayas",1466,2015,70%,Israel,3.5,,Ecuador
Holy Cacao,Sambirano,1466,2015,70%,Israel,3.5,Trinitario,Madagascar
Holy Cacao,Gran Couva,1466,2015,70%,Israel,3.5,Trinitario,Trinidad
Holy Cacao,Mara,1466,2015,70%,Israel,3.5,,Venezuela
Holy Cacao,Maranon,1872,2016,70%,Israel,2.75,,Peru
Honest,"Ecuador, w/ nibs",1327,2014,72%,South Africa,2.5,,Ecuador
Hotel Chocolat,"Marcial, single Cote, 2012",1030,2013,70%,U.K.,4,Trinitario,St. Lucia
Hotel Chocolat,"Island Growers, 2012, 120hr c.",1113,2013,100%,U.K.,1.75,Trinitario,St. Lucia
Hotel Chocolat,"Pepiniere, single Cote",1654,2015,70%,U.K.,2.75,,St. Lucia
Hotel Chocolat (Coppeneur),Uba Budo,300,2008,72%,U.K.,3,Forastero,Sao Tome
Hotel Chocolat (Coppeneur),St. Lucia,245,2008,72%,U.K.,3,,St. Lucia
Hotel Chocolat (Coppeneur),Tanzania,296,2008,75%,U.K.,2.75,,Tanzania
Hotel Chocolat (Coppeneur),Uganda,296,2008,80%,U.K.,2.5,Forastero,Uganda
Hotel Chocolat (Coppeneur),Santo Domingo,552,2010,70%,U.K.,3,,Dominican Republic
Hotel Chocolat (Coppeneur),Ecuador,552,2010,70%,U.K.,2.75,,Ecuador
Hotel Chocolat (Coppeneur),Chuao,600,2010,70%,U.K.,2.75,Trinitario,Venezuela
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 96hr c.",623,2011,80%,U.K.,3,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),"Island Growers, 96hr c.",623,2011,65%,U.K.,3.25,Trinitario,St. Lucia
Hotel Chocolat (Coppeneur),"Island Growers, 120hr c.",623,2011,65%,U.K.,3,Trinitario,St. Lucia
Hotel Chocolat (Coppeneur),Sambirano,809,2012,66%,U.K.,3.5,"Trinitario, Criollo",Madagascar
Hotel Chocolat (Coppeneur),"Conacado,  2012, 120hr c.",1113,2013,100%,U.K.,2.75,,Dominican Republic
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",1065,2013,82%,U.K.,3.5,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",1065,2013,90%,U.K.,3,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c.",1113,2013,100%,U.K.,2.5,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",1065,2013,72%,U.K.,3,Trinitario,Madagascar
Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c.",1109,2013,100%,U.K.,2.75,,Peru
Hotel Chocolat (Coppeneur),Trinidad,1038,2013,75%,U.K.,3,Trinitario,Trinidad
Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai,1038,2013,80%,U.K.,3.5,Trinitario,Vietnam
Hummingbird,Amazonas,1097,2013,70%,Canada,3.75,Forastero,Venezuela
Hummingbird,"Ocumare, Cumboto",1097,2013,70%,Canada,3.25,"Trinitario, Criollo",Venezuela
Hummingbird,Bolivia,1307,2014,70%,Canada,3,"Criollo, Trinitario",Bolivia
Hummingbird,"Bolivia, Bo-nib-ia, w/ nibs",1311,2014,70%,Canada,3,"Criollo, Trinitario",Bolivia
Hummingbird,Hispaniola,1311,2014,70%,Canada,3.75,Trinitario,Dominican Republic
Hummingbird,Zorzal Reserva w/ Charles Kerchner,1387,2014,70%,Canada,3.5,,Dominican Republic
Hummingbird,Momotombo,1311,2014,70%,Canada,3,Trinitario,Nicaragua
Hummingbird,Lam Dong,1542,2015,70%,Canada,3.5,Trinitario,Vietnam
Idilio (Felchlin),"Porcelana, Zulia",733,2011,74%,Switzerland,4,Criollo,Venezuela
Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,70%,Switzerland,4,Trinitario,Venezuela
Idilio (Felchlin),Coopertiva Amazona w/ nibs,737,2011,72%,Switzerland,4,Criollo,Venezuela
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",737,2011,72%,Switzerland,4,,Venezuela
